Month,Product,Category,Proportion,Drought.Category
January,Mature.Leaves,No.0,0.756666667,Drought
January,Mature.Leaves,No.1,0.083333333,Drought
January,Mature.Leaves,No.2,0.036666667,Drought
January,Mature.Leaves,No.3,0.05,Drought
January,Mature.Leaves,No.4,0.076666667,Drought
January,Mature.Leaves,No.0,0.7375,No Drought
January,Mature.Leaves,No.1,0.13125,No Drought
January,Mature.Leaves,No.2,0.06875,No Drought
January,Mature.Leaves,No.3,0.04375,No Drought
January,Mature.Leaves,No.4,0.02,No Drought
February,Mature.Leaves,No.0,0.55,Drought
February,Mature.Leaves,No.1,0.12,Drought
February,Mature.Leaves,No.2,0.053333333,Drought
February,Mature.Leaves,No.3,0.09,Drought
February,Mature.Leaves,No.4,0.193333333,Drought
February,Mature.Leaves,No.0,0.621428571,No Drought
February,Mature.Leaves,No.1,0.138571429,No Drought
February,Mature.Leaves,No.2,0.094285714,No Drought
February,Mature.Leaves,No.3,0.061428571,No Drought
February,Mature.Leaves,No.4,0.084285714,No Drought
March,Mature.Leaves,No.0,0.26,Drought
March,Mature.Leaves,No.1,0.146666667,Drought
March,Mature.Leaves,No.2,0.09,Drought
March,Mature.Leaves,No.3,0.173333333,Drought
March,Mature.Leaves,No.4,0.33,Drought
March,Mature.Leaves,No.0,0.415,No Drought
March,Mature.Leaves,No.1,0.145,No Drought
March,Mature.Leaves,No.2,0.12625,No Drought
March,Mature.Leaves,No.3,0.13875,No Drought
March,Mature.Leaves,No.4,0.175,No Drought
April,Mature.Leaves,No.0,0.07,Drought
April,Mature.Leaves,No.1,0.115,Drought
April,Mature.Leaves,No.2,0.16,Drought
April,Mature.Leaves,No.3,0.225,Drought
April,Mature.Leaves,No.4,0.425,Drought
April,Mature.Leaves,No.0,0.29,No Drought
April,Mature.Leaves,No.1,0.142,No Drought
April,Mature.Leaves,No.2,0.122,No Drought
April,Mature.Leaves,No.3,0.21,No Drought
April,Mature.Leaves,No.4,0.226,No Drought
May,Mature.Leaves,No.0,0.14,Drought
May,Mature.Leaves,No.1,0.113333333,Drought
May,Mature.Leaves,No.2,0.096666667,Drought
May,Mature.Leaves,No.3,0.19,Drought
May,Mature.Leaves,No.4,0.463333333,Drought
May,Mature.Leaves,No.0,0.275714286,No Drought
May,Mature.Leaves,No.1,0.115714286,No Drought
